bedrooms,bathrooms,sqft_living,floors,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,price
5,2.75,2740,1,1370,1370,1960,2001,5211 116th Pl SE,Bellevue,WA 98006,USA,541125
3,2.5,1680,3,1680,0,1909,1998,3503 NE 44th St,Seattle,WA 98105,USA,670000
5,2.5,3090,1,1750,1340,1968,1997,114 SW 292nd St,Federal Way,WA 98023,USA,384900
3,2.25,1410,3,1410,0,2005,0,8536 Interlake Ave N,Seattle,WA 98103,USA,406100
5,3.5,4010,2,2850,1160,1971,0,3930 NE Belvoir Pl,Seattle,WA 98105,USA,1395000
4,2.5,3180,2,3180,0,2000,0,17132 SE 100th St,Renton,WA 98059,USA,736500
3,2.25,2010,1,1330,680,1975,0,10204 168th Pl NE,Redmond,WA 98052,USA,570000
3,1.75,1330,1,1330,0,1961,2004,218 109th Ave SE,Bellevue,WA 98004,USA,787000
4,2.5,2370,2,2370,0,1998,2006,12621 SE 300th Way,Auburn,WA 98092,USA,328000
5,2,1840,1,1540,300,1942,1958,14013 Ashworth Ave N,Seattle,WA 98133,USA,435000
4,2.5,2910,2,2910,0,2006,0,34010 SE Sorenson St,Snoqualmie,WA 98065,USA,499000
4,1,2070,1,1160,910,1963,2008,2506 166th Ave NE,Bellevue,WA 98008,USA,501000
4,2.5,4340,2.5,4340,0,1992,0,8814 218th Ave NE,Redmond,WA 98053,USA,1090000
2,1,840,1,840,0,1955,2005,4515 SW Trenton St,Seattle,WA 98136,USA,400000
4,1.5,1240,1,1240,0,1971,0,4924 SW 314th Pl,Federal Way,WA 98023,USA,220000
4,1,1390,1,1050,340,1924,2011,4312 Woodlawn Ave N,Seattle,WA 98103,USA,657100
4,2.75,2310,2,2310,0,2006,0,22912 SE 268th Pl,Maple Valley,WA 98038,USA,309950
3,2,1050,1,1050,0,1986,0,27106 NE Miller St,Duvall,WA 98019,USA,300000
5,1.75,2550,1,1810,740,1960,0,13129 195th Pl SE,Issaquah,WA 98027,USA,525888
4,1.75,2010,1.5,2010,0,1902,0,1014 W Garfield St,Seattle,WA 98119,USA,740000
5,1,1120,1.5,1120,0,1962,0,14150 75th Ave NE,Kirkland,WA 98034,USA,340000
3,2.5,2230,2,2230,0,1954,2005,2601 21st Ave S,Seattle,WA 98144,USA,398750
2,1,810,1,810,0,1944,0,12807 7th Ave S,Burien,WA 98168,USA,206000
5,2.75,3190,1,1690,1500,1976,0,4529 135th Ave SE,Bellevue,WA 98006,USA,1030000
3,1.75,1670,1,1670,0,1976,1992,1804 E Beaver Lake Dr SE,Sammamish,WA 98075,USA,600000
4,1.75,1970,1,1140,830,1960,0,1701 N 204th Pl,Shoreline,WA 98133,USA,379950
3,1,1450,1,1450,0,1953,1983,8681 Beacon Ave S,Seattle,WA 98118,USA,287000
7,8,13540,3,9410,4130,1999,0,26408 NE 70th St,Redmond,WA 98053,USA,2280000
3,2.5,1880,2,1880,0,1994,0,17717 113th Pl SE,Renton,WA 98055,USA,309950
3,1.75,1880,1,1040,840,1945,0,8040 39th Ave NE,Seattle,WA 98115,USA,600000
3,2,1410,1.5,1410,0,1930,0,901 N 97th St,Seattle,WA 98103,USA,418000
4,2,1480,1.5,1480,0,1928,1970,519 N 104th St,Seattle,WA 98133,USA,449250
2,1,1140,1.5,1140,0,1949,1985,14017 Roslyn Pl N,Seattle,WA 98133,USA,329950
3,1.75,1920,1,1000,920,1984,0,30001-30021 55th Pl S,Auburn,WA 98001,USA,245000
4,2.5,2910,2,2910,0,2008,0,16026 SE 137th Terrace,Renton,WA 98059,USA,549000
3,2.5,3240,2,3240,0,1994,0,22721-22727 SE 27th St,Sammamish,WA 98075,USA,800000
3,2,1550,1,1550,0,1958,1972,18027 SE 128th St,Renton,WA 98059,USA,249950
5,2,2050,1,1430,620,1956,2001,20927-20999 2nd Ave S,Des Moines,WA 98198,USA,210000
2,2.5,2220,2,2220,0,2000,0,1857 41st Ave E,Seattle,WA 98112,USA,1425000
2,1,1770,1.5,1520,250,1949,1998,353 NW 88th St,Seattle,WA 98117,USA,585000
4,1.75,2300,1,1960,340,1977,0,18427 NE 26th Way,Redmond,WA 98052,USA,615000
3,2,1800,1,1080,720,1942,1982,2803 NE 62nd St,Seattle,WA 98115,USA,618500
4,1.75,2010,1,1470,540,1977,2004,13313 127th Pl NE,Kirkland,WA 98034,USA,487585
3,2.5,1790,2,1790,0,2010,0,4532 185th Ave SE,Issaquah,WA 98027,USA,509900
4,2.5,2440,2,2440,0,2014,0,9288-9358 Holman Rd NW,Seattle,WA 98117,USA,631625
3,2.5,1940,2,1940,0,2009,0,4509 185th Ave SE,Issaquah,WA 98027,USA,555000
2,1.5,1160,2,1160,0,2001,0,1318 29th Ave S,Seattle,WA 98144,USA,340000
4,2.5,3400,2,3400,0,2007,0,12001 173rd Pl NE,Redmond,WA 98052,USA,830000
4,4.25,4420,2,3410,1010,2006,0,842 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA,890000
3,3,1571,3,1571,0,2008,0,14359 19th Ave NE,Seattle,WA 98125,USA,366750
3,2.25,1620,2.5,1540,80,2010,0,935 4th Ave NE,Issaquah,WA 98029,USA,415000
3,2.5,1408,3,1408,0,2005,0,7809 12th Ave NE,Seattle,WA 98115,USA,416286
3,2.5,3040,2,3040,0,2007,0,2027 Ferndale Ave NE,Renton,WA 98056,USA,478000
5,3.5,4490,2,3200,1290,2006,0,792 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA,890000
2,2.5,1590,2,1590,0,2014,0,1273 NE Hickory Ln,Issaquah,WA 98029,USA,419190
4,2.5,2450,2,2450,0,2013,1923,17122 NE 117th St,Redmond,WA 98052,USA,712198
4,2,1440,1,1200,240,1971,0,10601 NE 138th Pl,Kirkland,WA 98034,USA,397000
2,2,1100,1.5,1100,0,1912,2005,412 NW 70th St,Seattle,WA 98117,USA,450000
3,1,1350,1,860,490,1947,1988,11051 35th Ave NE,Seattle,WA 98125,USA,353000
4,2.5,2150,2,2150,0,1985,0,18114 NE 136th St,Redmond,WA 98052,USA,609000
3,1.75,1490,1,1010,480,1975,0,25305 151st Pl SE,Covington,WA 98042,USA,234000
3,2,2000,2,2000,0,1916,1986,6422 Marshall Ave SW,Seattle,WA 98136,USA,561000
2,1,1030,1,1030,0,1924,2011,310 NW 72nd St,Seattle,WA 98117,USA,469000
2,1,720,1,720,0,1942,1999,9712 4th Ave NW,Seattle,WA 98117,USA,329350
5,2,2020,1.5,2020,0,1938,0,9020-9024 11th Ave NW,Seattle,WA 98117,USA,488000
3,1.75,1580,1,1100,480,1962,0,1629 S 261st Pl,Des Moines,WA 98198,USA,279900
4,2.5,2110,2,2110,0,1987,2000,2755 NW Pine Cone Dr,Issaquah,WA 98027,USA,606000
4,2,1300,1,1300,0,1950,2013,2815 SW 107th St,Seattle,WA 98146,USA,312000
3,1.5,1630,1,1160,470,1940,1996,6009 52nd Ave NE,Seattle,WA 98115,USA,650000
4,2.75,3370,1,1970,1400,1970,2014,3922 SW Henderson St,Seattle,WA 98136,USA,1135000
4,2.5,1890,1,980,910,1980,0,5631 17th Ave SW,Seattle,WA 98106,USA,325000
4,2,1520,1,1520,0,1967,0,14876 Juanita Woodinville Way NE,Inglewood-Finn Hill,WA 98034,USA,425000
2,1,900,1,900,0,1952,2008,8652 17th Ave SW,Seattle,WA 98106,USA,219000
3,1,1050,1,1050,0,1954,2005,18305 Dayton Ave N,Shoreline,WA 98133,USA,250000
3,1.75,1260,1,1260,0,1966,0,1415 168th Ave NE,Bellevue,WA 98008,USA,390000
6,3,3470,1.5,3470,0,1924,2011,19007 80th Ave NE,Kenmore,WA 98028,USA,475000
4,2.5,2290,2,2290,0,1988,0,17435 SE 47th St,Bellevue,WA 98006,USA,736000
4,2.25,2810,1,1710,1100,1958,2004,23024-23198 17th Ave S,Des Moines,WA 98198,USA,407000
3,2.5,1650,2,1650,0,1998,2006,32000-32072 NE 55th St,Carnation,WA 98014,USA,272000
3,2.25,1640,1,1140,500,1963,0,17253 Ambaum Blvd S,Burien,WA 98148,USA,362000
3,2.5,1850,2,1850,0,1991,0,8409 NE 129th Pl,Kirkland,WA 98034,USA,535000
4,2.5,2000,2,2000,0,2003,0,25434 160th Ave SE,Kent,WA 98042,USA,284000
3,1.5,1410,1,1410,0,1961,2004,18048 3rd Ave NW,Shoreline,WA 98177,USA,367500
4,1.75,1500,1,1000,500,1955,2009,15007 75th Ave NE,Kenmore,WA 98028,USA,379900
3,2.5,2460,2,2460,0,1980,0,5424 NE 10th St,Renton,WA 98059,USA,520000
3,1,1010,1,1010,0,1954,2005,207 NW 5th St,Renton,WA 98057,USA,175000
2,2.25,1230,2,1020,210,2004,2003,100 24th Ave E,Seattle,WA 98112,USA,460000
4,2.5,2331,2,2331,0,2007,0,11853 SE 176th Ct,Renton,WA 98058,USA,345000
5,2.5,2240,1,1340,900,1978,0,12633 NE 133rd Pl,Kirkland,WA 98034,USA,455000
4,3,2450,1,1580,870,1967,0,15607 SE 42nd Ct,Bellevue,WA 98006,USA,610000
4,3,3100,2,2400,700,1996,0,7422 NE 163rd St,Kenmore,WA 98028,USA,563000
4,2,2060,1,1030,1030,1949,2013,1708 NW 96th St,Seattle,WA 98117,USA,612500
3,1.75,1850,1,1320,530,1979,2014,33945 28th Pl SW,Federal Way,WA 98023,USA,218000
4,1.75,1840,1,960,880,1958,2004,16020 SE 2nd St,Bellevue,WA 98008,USA,404000
4,2,3740,2,3740,0,2000,0,24507 NE 77th Pl,Redmond,WA 98053,USA,860000
3,1.5,1420,1,1420,0,1962,2003,32827 22nd Ave SW,Federal Way,WA 98023,USA,136500
3,1,1510,1,860,650,1940,2001,415 NE 94th St,Seattle,WA 98115,USA,313950
3,1.75,2130,1,1170,960,1954,2005,2214 W Halladay St,Seattle,WA 98199,USA,575000
4,2.25,3490,2,2280,1210,1928,0,2560 39th Ave W,Seattle,WA 98199,USA,1225000
3,1.75,1630,1,1630,0,1971,0,12525 458th Ave SE,North Bend,WA 98045,USA,280000
3,2.5,1790,2,1790,0,1989,0,920 221st Ave NE,Sammamish,WA 98074,USA,515000
4,2.5,2000,2,2000,0,1996,0,9041 NE 160th Pl,Kenmore,WA 98028,USA,513000
4,2.25,2260,2,1400,860,1977,0,16022 SE 43rd St,Bellevue,WA 98006,USA,599000
4,2.5,3030,2,3030,0,1999,0,24201 SE 1st Pl,Sammamish,WA 98074,USA,685000
3,1.5,1310,1,1310,0,1950,2005,13714 Ashworth Ave N,Seattle,WA 98133,USA,365000
4,2.5,3880,2,3880,0,1987,2000,22344 NE 31st St,Sammamish,WA 98074,USA,762300
4,3.25,3760,1.5,2400,1360,1950,0,5650 NE 55th St,Seattle,WA 98105,USA,1580000
5,2.25,3040,2,3040,0,1984,0,17649 NE 129th Pl,Redmond,WA 98052,USA,562000
5,2.5,2910,1,1690,1220,1964,0,3250 165th Ave SE,Bellevue,WA 98008,USA,530000
3,2.5,2970,1,1770,1200,1995,0,21603 NE 29th St,Sammamish,WA 98074,USA,525000
2,1.75,1660,1,1160,500,1942,1999,4711 University View Pl NE,Seattle,WA 98105,USA,484000
4,2.5,3200,2,3200,0,1998,2006,14707 SE 84th St,Newcastle,WA 98059,USA,725126
4,2,2680,1,2680,0,1965,0,31607-31633 44th Ave S,Auburn,WA 98001,USA,360000
3,1,1230,1,1230,0,1962,0,12116 SE 71st Pl,Newcastle,WA 98056,USA,387000
4,2.5,2740,2,2740,0,1995,0,15418 216th Ave NE,Woodinville,WA 98077,USA,483500
4,3.5,3380,2,3380,0,2000,0,1703 NW 200th Ln,Shoreline,WA 98177,USA,655500
3,1,1110,1,1110,0,1956,2001,3230 NE 95th St,Seattle,WA 98115,USA,345000
5,2.75,1800,1.5,1400,400,1926,2003,7434 Winona Ave N,Seattle,WA 98103,USA,533000
3,1.75,1900,1,1280,620,1982,0,5215 32nd Ave S,Seattle,WA 98118,USA,385000
2,1,930,1,930,0,1951,1994,4206 SE Newport Way,Bellevue,WA 98006,USA,675000
3,1.75,1690,1,1060,630,1976,1992,30020 43rd Pl S,Auburn,WA 98001,USA,197000
3,2,1420,1.5,1420,0,1905,2013,720 N 80th St,Seattle,WA 98103,USA,485000
5,4,4510,2,4510,0,1969,2002,8300 SE 82nd St,Mercer Island,WA 98040,USA,1870000
3,2.25,1980,1,1560,420,1974,0,31966 36th Ave SW,Federal Way,WA 98023,USA,295000
2,1.75,1170,1,740,430,1903,0,2112 N 50th St,Seattle,WA 98103,USA,499000
3,2.5,2200,2,1610,590,2008,0,2516 Yale Ave E,Seattle,WA 98102,USA,1050000
3,1.5,800,1,800,0,1959,0,1003 SW 307th St,Federal Way,WA 98023,USA,191000
3,2.5,1480,3,1480,0,2006,0,135 25th Ave E,Seattle,WA 98112,USA,500000
5,3.75,2890,1,1310,1580,2006,0,3665 Renton Ave S,Seattle,WA 98144,USA,390000
3,2.5,2690,3,2690,0,2014,0,7000 23rd Ave NW,Seattle,WA 98117,USA,979000
4,3.25,3569,2,3569,0,2013,1923,710 S 23rd St,Renton,WA 98055,USA,580000
3,2,1270,3,1270,0,2006,0,8846 Midvale Ave N,Seattle,WA 98103,USA,369950
5,5,4490,2,3930,560,2013,1923,1435 104th Ave SE,Bellevue,WA 98004,USA,1800000
4,2.5,3040,2,3040,0,2008,0,16775 NE 86th Ct,Redmond,WA 98052,USA,776000
3,2.25,1170,3,1170,0,2014,0,1749 NW 60th St,Seattle,WA 98107,USA,519950
5,2.25,2060,1,1030,1030,1962,2003,105 SW 129th St,Burien,WA 98146,USA,255000
3,1,990,1,990,0,1943,2002,5628 NE 59th St,Seattle,WA 98105,USA,495000
4,2.5,2430,2,2430,0,2003,0,1028 NE 153rd Ct,Shoreline,WA 98155,USA,510000
4,4,4460,2,4460,0,2001,0,25823 NE 30th Ct,Redmond,WA 98053,USA,1150000
3,1.75,1250,1,1250,0,1994,0,25502 Kanasket Dr,Black Diamond,WA 98010,USA,253000
3,2.75,1540,1,1210,330,1980,0,9626 NE 129th Pl,Kirkland,WA 98034,USA,503000
3,2.5,1600,2,1600,0,1993,0,21326 SE 277th Pl,Maple Valley,WA 98038,USA,275000
3,1,1110,1,1110,0,1952,2008,14613 6th Ave SW,Burien,WA 98166,USA,249000
3,1.75,1840,1,1220,620,1974,0,19313 140th Pl SE,Renton,WA 98058,USA,310000
3,2.75,2520,1,1360,1160,1946,1989,2806 13th Ave W,Seattle,WA 98119,USA,750000
3,2.5,2680,2,2680,0,1995,0,25339 SE 248th St,Ravensdale,WA 98051,USA,630000
9,4.5,3830,2.5,2450,1380,1938,2003,8809 Densmore Ave N,Seattle,WA 98103,USA,599999
4,2.75,2410,1,1780,630,1956,0,10627 NE 45th St,Kirkland,WA 98033,USA,758000
4,1.75,1720,1,1720,0,1960,0,16635 SE 268th St,Covington,WA 98042,USA,248500
3,1.75,2070,1,1420,650,1973,0,19654 116th Ave SE,Kent,WA 98031,USA,310000
3,2,1760,2,1760,0,1985,0,5003 159th Ct NE,Redmond,WA 98052,USA,460000
3,1.75,1680,1,1680,0,1959,0,4 128th Ave SE,Bellevue,WA 98005,USA,675000
2,2,1550,1.5,1550,0,1900,1971,3845 Whitman Ave N,Seattle,WA 98103,USA,526000
3,3,4120,2,3180,940,1994,0,32223 NE 88th St,Carnation,WA 98014,USA,560000
4,3,1830,2,1830,0,1991,0,15204 88th Ave NE,Bothell,WA 98028,USA,415000
3,1,1400,1,1400,0,1944,0,624 SW 137th St,Burien,WA 98166,USA,246000
3,1.75,1870,1,1870,0,1957,2001,29645 10th Pl S,Federal Way,WA 98003,USA,314500
7,4.5,6210,2.5,4760,1450,1910,0,1230 Warren Ave N,Seattle,WA 98109,USA,3200000
2,1.5,1040,1.5,1040,0,1904,0,1713 22nd Ave S,Seattle,WA 98144,USA,420000
3,1.75,2720,1.5,2720,0,1988,2000,33331 NE Lake Joy Rd,Carnation,WA 98014,USA,535000
3,1,1010,1,1010,0,1981,2013,9703 130th Ave NE,Kirkland,WA 98033,USA,350000
3,1.75,1580,1,1210,370,1967,0,234 W Lake Sammamish Pkwy SE,Bellevue,WA 98008,USA,515000
4,2.75,2600,2,1960,640,1949,0,4140 53rd Ave SW,Seattle,WA 98116,USA,749950
3,2.5,1920,2,1920,0,1988,2000,206 Oakesdale Ave SW,Renton,WA 98057,USA,230000
3,2,2350,1.5,1780,570,1929,0,5531 Seward Park Ave S,Seattle,WA 98118,USA,568000
1,1,1100,1,820,280,1947,0,232 SW 154th St,Burien,WA 98166,USA,250000
4,2,2510,1,1280,1230,1961,2001,11105 126th Ave NE,Kirkland,WA 98033,USA,581000
3,2.5,3240,2,3240,0,1991,0,18611 SE 307th Ln,Kent,WA 98042,USA,651000
3,2.5,2460,1,1860,600,1977,0,25525 SE 133rd St,Issaquah,WA 98027,USA,600000
2,1,1010,1.5,1010,0,1906,1990,331 22nd Ave E,Seattle,WA 98112,USA,500000
2,1,820,1,820,0,1921,2000,4602 Woodlawn Ave N,Seattle,WA 98103,USA,475000
5,2.5,2420,1,1620,800,1978,0,3723 S Chicago St,Seattle,WA 98118,USA,352000
3,2.25,1770,2,1770,0,1977,2004,12921 79th Pl NE,Kirkland,WA 98034,USA,420000
2,2,1350,1,1350,0,2003,0,232nd Way,Redmond,WA 98053,USA,428000
3,1.75,1960,1,1090,870,1920,0,6253-6299 15th Ave NE,Seattle,WA 98115,USA,599000
4,2.5,3305,1.5,2245,1060,1922,1956,1718 N 175th St,Shoreline,WA 98133,USA,492000
2,2.25,2550,1,1720,830,2011,0,1225 N 41st Pl,Renton,WA 98056,USA,630000
5,3.75,4130,2,3170,960,1985,0,12809-12907 206th Ave NE,Woodinville,WA 98077,USA,900000
4,1.5,2310,1,1890,420,1950,2005,9724 NE 14th St,Clyde Hill,WA 98004,USA,1110000
4,2,1650,1,1650,0,1955,2005,6708 14th Ave NW,Seattle,WA 98117,USA,575000
4,2.5,2650,1.5,1520,1130,1905,2013,1902 45th Ave SW,Seattle,WA 98116,USA,705000
4,2.25,1890,1,1470,420,1963,2008,1234 22nd Ave E,Seattle,WA 98112,USA,940000
3,1.75,2190,1,2190,0,1967,0,32631 39th Ave SW,Federal Way,WA 98023,USA,313000
